#Data tag : v2 , Norm tag: onlineresult
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/pb) | recorded(/pb) |
| 319625:6921 | 07/14/18 14:05:52 | 190  | 190  | 69.908         | 67.638        |
| 319639:6923 | 07/14/18 18:52:14 | 1479 | 1479 | 405.126        | 391.545       |
| 319656:6924 | 07/15/18 07:24:28 | 260  | 260  | 88.889         | 84.258        |
| 319657:6924 | 07/15/18 09:09:07 | 167  | 167  | 51.427         | 49.563        |
| 319658:6924 | 07/15/18 10:16:05 | 225  | 225  | 61.998         | 59.874        |
| 319659:6924 | 07/15/18 11:50:27 | 87   | 87   | 21.614         | 20.840        |
| 319678:6925 | 07/15/18 15:20:14 | 259  | 259  | 94.975         | 91.522        |
| 319687:6927 | 07/15/18 22:28:05 | 45   | 45   | 15.833         | 15.411        |
| 319697:6929 | 07/16/18 02:17:41 | 437  | 437  | 61.184         | 58.972        |
| 319698:6929 | 07/16/18 05:13:10 | 312  | 312  | 36.044         | 35.196        |
| 319756:6931 | 07/16/18 15:39:05 | 1923 | 1923 | 485.206        | 469.066       |
| 319840:6939 | 07/17/18 22:27:54 | 348  | 348  | 50.154         | 48.669        |
| 319841:6939 | 07/18/18 00:44:34 | 167  | 167  | 20.328         | 19.819        |
| 319847:6940 | 07/18/18 04:02:31 | 3    | 3    | 1.277          | 0.842         |
| 319848:6940 | 07/18/18 04:04:46 | 53   | 53   | 19.111         | 18.265        |
| 319849:6940 | 07/18/18 04:28:03 | 492  | 492  | 172.708        | 166.303       |
| 319851:6940 | 07/18/18 07:46:30 | 4    | 4    | 1.197          | 1.079         |
| 319853:6940 | 07/18/18 08:01:32 | 256  | 256  | 70.131         | 68.129        |
| 319854:6940 | 07/18/18 09:44:35 | 225  | 225  | 52.810         | 51.349        |
| 319908:6942 | 07/19/18 02:40:13 | 51   | 51   | 18.767         | 17.510        |
| 319909:6942 | 07/19/18 03:03:14 | 7    | 7    | 2.631          | 1.060         |
| 319910:6942 | 07/19/18 03:09:21 | 983  | 983  | 302.092        | 291.925       |
| 319912:6942 | 07/19/18 09:34:18 | 59   | 59   | 13.547         | 12.831        |
| 319913:6942 | 07/19/18 09:59:25 | 56   | 56   | 12.444         | 11.998        |
| 319914:6942 | 07/19/18 10:22:49 | 32   | 32   | 6.932          | 6.576         |
| 319915:6942 | 07/19/18 10:37:24 | 416  | 416  | 85.024         | 83.004        |
| 319941:6944 | 07/19/18 19:59:36 | 256  | 256  | 94.882         | 90.462        |
| 319942:6944 | 07/19/18 21:41:31 | 50   | 50   | 17.179         | 16.725        |
| 319950:6946 | 07/20/18 02:45:31 | 168  | 168  | 65.027         | 63.223        |
| 319991:6953 | 07/20/18 15:48:52 | 837  | 837  | 280.083        | 270.086       |
| 319992:6953 | 07/20/18 21:15:40 | 264  | 264  | 65.288         | 62.667        |
| 319993:6953 | 07/20/18 23:01:06 | 955  | 955  | 179.342        | 174.502       |
| 320002:6956 | 07/21/18 08:17:33 | 141  | 141  | 50.293         | 48.072        |
| 320006:6956 | 07/21/18 09:46:33 | 340  | 340  | 112.776        | 109.199       |
| 320010:6956 | 07/21/18 14:27:42 | 330  | 330  | 73.239         | 71.342        |
| 320011:6956 | 07/21/18 16:38:02 | 302  | 302  | 60.281         | 58.384        |
| 320012:6956 | 07/21/18 18:38:20 | 99   | 99   | 17.872         | 17.271        |
| 320023:6957 | 07/21/18 21:33:04 | 276  | 276  | 99.475         | 94.555        |
| 320024:6957 | 07/21/18 23:21:36 | 410  | 410  | 124.656        | 120.816       |
| 320025:6957 | 07/22/18 02:03:22 | 113  | 113  | 29.820         | 28.751        |
| 320026:6957 | 07/22/18 02:49:56 | 204  | 204  | 49.242         | 47.830        |
| 320038:6960 | 07/22/18 07:09:05 | 621  | 621  | 217.683        | 209.334       |
| 320039:6960 | 07/22/18 11:13:46 | 30   | 30   | 8.740          | 7.821         |
| 320040:6960 | 07/22/18 11:29:07 | 737  | 737  | 175.220        | 169.553       |
| 320059:6961 | 07/22/18 18:43:23 | 105  | 105  | 41.811         | 39.193        |
| 320060:6961 | 07/22/18 19:27:06 | 42   | 42   | 15.831         | 15.045        |
| 320061:6961 | 07/22/18 19:46:28 | 49   | 49   | 18.289         | 17.478        |
| 320062:6961 | 07/22/18 20:06:51 | 21   | 21   | 7.661          | 6.647         |
| 320063:6961 | 07/22/18 20:17:41 | 64   | 64   | 22.682         | 21.200        |
| 320064:6961 | 07/22/18 20:48:07 | 200  | 200  | 65.424         | 62.044        |
| 320065:6961 | 07/22/18 22:09:31 | 920  | 920  | 224.548        | 216.995       |
| 320673:7005 | 08/01/18 02:33:02 | 867  | 867  | 63.812         | 62.554        |
| 320674:7005 | 08/01/18 08:11:46 | 599  | 599  | 33.155         | 32.615        |
| 320688:7006 | 08/01/18 15:24:07 | 483  | 483  | 128.788        | 124.552       |
| 320712:7008 | 08/02/18 02:45:02 | 204  | 204  | 68.829         | 66.569        |
| 320757:7013 | 08/02/18 14:37:56 | 332  | 332  | 115.645        | 111.615       |
| 320804:7017 | 08/03/18 07:27:51 | 1229 | 1229 | 316.204        | 304.796       |
| 320807:7017 | 08/03/18 15:28:47 | 7    | 7    | 1.261          | 0.322         |
| 320809:7017 | 08/03/18 15:43:13 | 716  | 716  | 104.133        | 101.477       |
| 320821:7018 | 08/03/18 23:57:33 | 181  | 181  | 60.138         | 57.700        |
| 320822:7018 | 08/04/18 01:09:17 | 523  | 523  | 147.971        | 142.985       |
| 320823:7018 | 08/04/18 04:34:31 | 360  | 360  | 79.033         | 76.341        |
| 320838:7020 | 08/04/18 17:31:13 | 265  | 265  | 92.609         | 88.238        |
| 320840:7020 | 08/04/18 19:20:16 | 471  | 471  | 140.155        | 134.611       |
| 320841:7020 | 08/04/18 22:26:04 | 205  | 205  | 49.926         | 48.162        |
| 320853:7024 | 08/05/18 06:48:21 | 329  | 329  | 116.977        | 112.844       |
| 320854:7024 | 08/05/18 08:59:07 | 125  | 125  | 39.550         | 37.854        |
| 320855:7024 | 08/05/18 09:50:43 | 565  | 565  | 145.062        | 139.939       |
| 320856:7024 | 08/05/18 13:36:29 | 159  | 159  | 33.009         | 31.944        |
| 320857:7024 | 08/05/18 14:39:58 | 272  | 272  | 52.234         | 50.428        |
